area,session,object,n_neurons,n_trials_exe,n_trials_obs,n_pcs_used,time_s,auc,centroid_distance
AIP,MonkeyA_Session02,Object1,55,12,12,8,-1.0,0.96,4.450817666392531
AIP,MonkeyA_Session02,Object1,55,12,12,8,-0.9487179487179487,0.9466666666666665,3.9040888778622973
AIP,MonkeyA_Session02,Object1,55,12,12,8,-0.8974358974358975,1.0,4.304830074563713
AIP,MonkeyA_Session02,Object1,55,12,12,8,-0.8461538461538461,1.0,4.696939241218885
AIP,MonkeyA_Session02,Object1,55,12,12,8,-0.7948717948717949,1.0,4.46333007751332
AIP,MonkeyA_Session02,Object1,55,12,12,8,-0.7435897435897436,0.97,4.511230785939194
AIP,MonkeyA_Session02,Object1,55,12,12,8,-0.6923076923076923,0.9333333333333332,3.9868298948546865
AIP,MonkeyA_Session02,Object1,55,12,12,8,-0.641025641025641,0.98,4.128236269004568
AIP,MonkeyA_Session02,Object1,55,12,12,8,-0.5897435897435898,1.0,3.9250192183491106
AIP,MonkeyA_Session02,Object1,55,12,12,8,-0.5384615384615385,1.0,4.384136379251287
AIP,MonkeyA_Session02,Object1,55,12,12,8,-0.4871794871794872,1.0,4.598088505095192
AIP,MonkeyA_Session02,Object1,55,12,12,8,-0.4358974358974359,1.0,3.6351711013293997
AIP,MonkeyA_Session02,Object1,55,12,12,8,-0.3846153846153846,0.9933333333333334,3.999364705770162
AIP,MonkeyA_Session02,Object1,55,12,12,8,-0.33333333333333337,1.0,4.072173698354827
AIP,MonkeyA_Session02,Object1,55,12,12,8,-0.28205128205128205,1.0,3.9793624520574666
AIP,MonkeyA_Session02,Object1,55,12,12,8,-0.23076923076923084,1.0,4.471263063637542
AIP,MonkeyA_Session02,Object1,55,12,12,8,-0.17948717948717952,1.0,3.896646202938371
AIP,MonkeyA_Session02,Object1,55,12,12,8,-0.1282051282051282,1.0,4.077728557391789
AIP,MonkeyA_Session02,Object1,55,12,12,8,-0.07692307692307698,0.9933333333333333,3.532741464446585
AIP,MonkeyA_Session02,Object1,55,12,12,8,-0.02564102564102566,1.0,4.1147292417018315
AIP,MonkeyA_Session02,Object1,55,12,12,8,0.02564102564102555,0.9866666666666666,4.146276757836397
AIP,MonkeyA_Session02,Object1,55,12,12,8,0.07692307692307687,1.0,5.111513599651092
AIP,MonkeyA_Session02,Object1,55,12,12,8,0.1282051282051282,1.0,5.4387492156548
AIP,MonkeyA_Session02,Object1,55,12,12,8,0.17948717948717952,1.0,6.939436203517477
