area,session,object,event,start_bin,stop_bin,center_time_s,obs_auc,null_auc_mean,null_auc_ci95_low,null_auc_ci95_high,p_auc,n_shuffle,cv_n_splits,cv_n_repeats
AIP,MonkeyA_Session01,Object1,Event1,0,5,-0.15,0.5208333333333334,0.5107708333333334,0.2291666666666666,0.8125,0.5104895104895105,1000,3,1
AIP,MonkeyA_Session01,Object1,Event1,1,6,-0.13,0.3125,0.4965416666666666,0.1875,0.7916666666666666,0.8791208791208791,1000,3,1
AIP,MonkeyA_Session01,Object1,Event1,2,7,-0.11,0.3541666666666667,0.5222916666666666,0.1875,0.8125,0.8731268731268731,1000,3,1
AIP,MonkeyA_Session01,Object1,Event1,3,8,-0.09,0.4166666666666667,0.50415625,0.1875,0.8125,0.7132867132867133,1000,3,1
AIP,MonkeyA_Session01,Object1,Event1,4,9,-0.07,0.25,0.50065625,0.1875,0.8229166666666666,0.934065934065934,1000,3,1
AIP,MonkeyA_Session01,Object1,Event1,5,10,-0.05,0.375,0.4977291666666666,0.2083333333333333,0.7916666666666666,0.8031968031968032,1000,3,1
AIP,MonkeyA_Session01,Object1,Event1,6,11,-0.03,0.3125,0.4888645833333333,0.1875,0.7916666666666666,0.8751248751248751,1000,3,1
AIP,MonkeyA_Session01,Object1,Event1,7,12,-0.01,0.3333333333333333,0.4932083333333333,0.1875,0.7921874999999995,0.8531468531468531,1000,3,1
AIP,MonkeyA_Session01,Object1,Event1,8,13,0.0099999999999999,0.4791666666666667,0.5133333333333333,0.2083333333333333,0.8125,0.6063936063936064,1000,3,1
AIP,MonkeyA_Session01,Object1,Event1,9,14,0.03,0.7708333333333334,0.4778541666666666,0.1666666666666666,0.8125,0.0469530469530469,1000,3,1
AIP,MonkeyA_Session01,Object1,Event1,10,15,0.0499999999999999,0.5625,0.51475,0.2083333333333333,0.7916666666666666,0.4065934065934066,1000,3,1
AIP,MonkeyA_Session01,Object1,Event1,11,16,0.07,0.4895833333333333,0.5301354166666667,0.2497395833333333,0.8130208333333329,0.6033966033966034,1000,3,1
AIP,MonkeyA_Session01,Object1,Event1,12,17,0.0899999999999999,0.6458333333333334,0.5180208333333334,0.2291666666666666,0.8125,0.2257742257742257,1000,3,1
AIP,MonkeyA_Session01,Object1,Event1,13,18,0.1099999999999999,0.3958333333333333,0.5403333333333332,0.2494791666666667,0.8333333333333334,0.8391608391608392,1000,3,1
AIP,MonkeyA_Session01,Object1,Event1,14,19,0.13,0.6875,0.5032916666666666,0.2083333333333333,0.7916666666666666,0.1318681318681318,1000,3,1
AIP,MonkeyA_Session01,Object1,Event1,15,20,0.15,0.7083333333333334,0.5107499999999999,0.1875,0.8125,0.1448551448551448,1000,3,1
AIP,MonkeyA_Session01,Object1,Event1,16,21,0.1699999999999999,0.8125,0.5357708333333333,0.2083333333333333,0.8541666666666666,0.0529470529470529,1000,3,1
AIP,MonkeyA_Session01,Object1,Event1,17,22,0.19,0.875,0.4944791666666666,0.1875,0.7916666666666666,0.0069930069930069,1000,3,1
AIP,MonkeyA_Session01,Object1,Event1,18,23,0.21,0.4583333333333333,0.5366041666666668,0.2083333333333333,0.8333333333333334,0.7032967032967034,1000,3,1
AIP,MonkeyA_Session01,Object1,Event1,19,24,0.2299999999999999,0.4375,0.5159375,0.2083333333333333,0.8333333333333334,0.7012987012987013,1000,3,1
AIP,MonkeyA_Session01,Object1,Event1,20,25,0.25,0.25,0.5000416666666666,0.2083333333333333,0.7916666666666666,0.96003996003996,1000,3,1
AIP,MonkeyA_Session01,Object1,Event1,21,26,0.27,0.3333333333333333,0.4689791666666666,0.1666666666666666,0.7916666666666666,0.7982017982017982,1000,3,1
AIP,MonkeyA_Session01,Object1,Event1,22,27,0.29,0.375,0.4652708333333333,0.1666666666666666,0.7916666666666666,0.7192807192807192,1000,3,1
AIP,MonkeyA_Session01,Object1,Event1,23,28,0.31,0.3541666666666667,0.5000833333333333,0.1875,0.7916666666666666,0.8321678321678322,1000,3,1
AIP,MonkeyA_Session01,Object1,Event1,24,29,0.33,0.25,0.5003125,0.1875,0.8125,0.9410589410589412,1000,3,1
AIP,MonkeyA_Session01,Object1,Event1,25,30,0.35,0.3333333333333333,0.5111875,0.2083333333333333,0.8125,0.8721278721278721,1000,3,1
AIP,MonkeyA_Session01,Object1,Event1,26,31,0.37,0.3958333333333333,0.5148541666666667,0.2286458333333333,0.8130208333333329,0.7852147852147852,1000,3,1
AIP,MonkeyA_Session01,Object1,Event1,27,32,0.3899999999999999,0.6666666666666666,0.5245416666666668,0.2291666666666666,0.8333333333333334,0.2057942057942058,1000,3,1
AIP,MonkeyA_Session01,Object1,Event1,28,33,0.41,0.7916666666666666,0.5064583333333333,0.1875,0.7921874999999995,0.0389610389610389,1000,3,1
AIP,MonkeyA_Session01,Object1,Event1,29,34,0.43,0.5208333333333334,0.51125,0.2083333333333333,0.8125,0.4895104895104895,1000,3,1
AIP,MonkeyA_Session01,Object1,Event1,30,35,0.45,0.4166666666666667,0.5137708333333334,0.2083333333333333,0.8333333333333334,0.7402597402597403,1000,3,1
AIP,MonkeyA_Session01,Object1,Event1,31,36,0.47,0.4479166666666667,0.5164270833333332,0.21875,0.8125,0.6713286713286714,1000,3,1
AIP,MonkeyA_Session01,Object1,Event1,32,37,0.49,0.3333333333333333,0.5266041666666668,0.2083333333333333,0.8333333333333334,0.8921078921078921,1000,3,1
AIP,MonkeyA_Session01,Object1,Event1,33,38,0.51,0.5625,0.5235208333333332,0.2291666666666666,0.8333333333333334,0.4375624375624375,1000,3,1
AIP,MonkeyA_Session01,Object1,Event1,34,39,0.53,0.7291666666666666,0.5103125,0.1875,0.7921874999999995,0.0909090909090909,1000,3,1
AIP,MonkeyA_Session01,Object1,Event1,35,40,0.55,0.6041666666666666,0.5005208333333334,0.2083333333333333,0.7916666666666666,0.2927072927072927,1000,3,1
AIP,MonkeyA_Session01,Object1,Event1,36,41,0.5700000000000001,0.6666666666666666,0.4895,0.1875,0.7916666666666666,0.1638361638361638,1000,3,1
AIP,MonkeyA_Session01,Object1,Event1,37,42,0.5900000000000001,0.8541666666666666,0.4935,0.1875,0.8125,0.0189810189810189,1000,3,1
AIP,MonkeyA_Session01,Object1,Event1,38,43,0.6100000000000001,0.4895833333333333,0.53015625,0.2083333333333333,0.8440104166666664,0.6033966033966034,1000,3,1
AIP,MonkeyA_Session01,Object1,Event1,39,44,0.6300000000000001,0.4583333333333333,0.5207708333333333,0.2083333333333333,0.8333333333333334,0.6603396603396603,1000,3,1
AIP,MonkeyA_Session01,Object1,Event1,40,45,0.6499999999999999,0.4583333333333333,0.4978333333333333,0.1875,0.7916666666666666,0.6053946053946054,1000,3,1
