area,session,object,event,onset_s,onset_ms,n_time_bins,n_significant_post_bins
AIP,MonkeyA_Session01,Object1,Event1,,,46,0
AIP,MonkeyA_Session01,Object1,Event3,,,66,0
AIP,MonkeyA_Session01,Object2,Event1,,,46,0
AIP,MonkeyA_Session01,Object2,Event3,,,66,0
AIP,MonkeyA_Session01,Object3,Event1,,,46,0
AIP,MonkeyA_Session01,Object3,Event3,,,66,0
AIP,MonkeyA_Session02,Object1,Event1,,,46,0
AIP,MonkeyA_Session02,Object1,Event3,0.4299999999999999,429.9999999999999,66,6
AIP,MonkeyA_Session02,Object2,Event1,,,46,0
AIP,MonkeyA_Session02,Object2,Event3,0.47,470.0,66,5
AIP,MonkeyA_Session02,Object3,Event1,,,46,0
AIP,MonkeyA_Session02,Object3,Event3,,,66,0
AIP,MonkeyB_Session01,Object1,Event1,,,46,0
AIP,MonkeyB_Session01,Object1,Event3,,,66,0
AIP,MonkeyB_Session01,Object2,Event1,,,46,0
AIP,MonkeyB_Session01,Object2,Event3,,,66,0
AIP,MonkeyB_Session01,Object3,Event1,,,46,0
AIP,MonkeyB_Session01,Object3,Event3,,,66,0
AIP,MonkeyB_Session02,Object1,Event1,,,46,0
AIP,MonkeyB_Session02,Object1,Event3,,,66,0
AIP,MonkeyB_Session02,Object2,Event1,,,46,0
AIP,MonkeyB_Session02,Object2,Event3,,,66,0
AIP,MonkeyB_Session02,Object3,Event1,,,46,0
AIP,MonkeyB_Session02,Object3,Event3,,,66,0
F5,MonkeyB_Session01,Object1,Event1,,,46,0
F5,MonkeyB_Session01,Object1,Event3,0.4299999999999999,429.9999999999999,66,7
F5,MonkeyB_Session01,Object2,Event1,,,46,0
F5,MonkeyB_Session01,Object2,Event3,,,66,0
F5,MonkeyB_Session01,Object3,Event1,,,46,0
F5,MonkeyB_Session01,Object3,Event3,,,66,0
F5,MonkeyB_Session02,Object1,Event1,,,46,0
F5,MonkeyB_Session02,Object1,Event3,0.33,330.0,66,11
F5,MonkeyB_Session02,Object2,Event1,,,46,0
F5,MonkeyB_Session02,Object2,Event3,0.25,250.0,66,10
F5,MonkeyB_Session02,Object3,Event1,,,46,0
F5,MonkeyB_Session02,Object3,Event3,0.0499999999999999,49.9999999999999,66,27
F5,MonkeyB_Session03,Object1,Event1,,,46,0
F5,MonkeyB_Session03,Object1,Event3,,,66,0
F5,MonkeyB_Session03,Object2,Event1,,,46,0
F5,MonkeyB_Session03,Object2,Event3,,,66,0
F5,MonkeyB_Session03,Object3,Event1,,,46,0
F5,MonkeyB_Session03,Object3,Event3,,,66,0
F5,MonkeyB_Session04,Object1,Event1,,,46,0
F5,MonkeyB_Session04,Object1,Event3,0.33,330.0,66,9
F5,MonkeyB_Session04,Object2,Event1,,,46,0
F5,MonkeyB_Session04,Object2,Event3,,,66,0
F5,MonkeyB_Session04,Object3,Event1,,,46,0
F5,MonkeyB_Session04,Object3,Event3,,,66,0
F5,MonkeyB_Session06,Object1,Event1,,,46,0
F5,MonkeyB_Session06,Object1,Event3,0.25,250.0,66,11
F5,MonkeyB_Session06,Object2,Event1,,,46,0
F5,MonkeyB_Session06,Object2,Event3,0.4299999999999999,429.9999999999999,66,9
F5,MonkeyB_Session06,Object3,Event1,,,46,0
F5,MonkeyB_Session06,Object3,Event3,0.33,330.0,66,11
F5,MonkeyB_Session07,Object1,Event1,,,46,0
F5,MonkeyB_Session07,Object1,Event3,,,66,0
F5,MonkeyB_Session07,Object2,Event1,,,46,0
F5,MonkeyB_Session07,Object2,Event3,,,66,0
F5,MonkeyB_Session07,Object3,Event1,,,46,0
F5,MonkeyB_Session07,Object3,Event3,,,66,0
F5,MonkeyB_Session08,Object1,Event1,,,46,0
F5,MonkeyB_Session08,Object1,Event3,,,66,0
F5,MonkeyB_Session08,Object2,Event1,,,46,0
F5,MonkeyB_Session08,Object2,Event3,,,66,0
F5,MonkeyB_Session08,Object3,Event1,,,46,0
F5,MonkeyB_Session08,Object3,Event3,,,66,0
F5,MonkeyB_Session10,Object1,Event1,,,46,0
F5,MonkeyB_Session10,Object1,Event3,0.3500000000000001,350.0000000000001,66,5
F5,MonkeyB_Session10,Object2,Event1,,,46,0
F5,MonkeyB_Session10,Object2,Event3,0.33,330.0,66,8
F5,MonkeyB_Session10,Object3,Event1,,,46,0
F5,MonkeyB_Session10,Object3,Event3,0.27,270.0,66,9
F5,MonkeyB_Session11,Object1,Event1,,,46,0
F5,MonkeyB_Session11,Object1,Event3,0.3699999999999999,369.9999999999999,66,10
F5,MonkeyB_Session11,Object2,Event1,,,46,0
F5,MonkeyB_Session11,Object2,Event3,0.4299999999999999,429.9999999999999,66,8
F5,MonkeyB_Session11,Object3,Event1,,,46,0
F5,MonkeyB_Session11,Object3,Event3,0.3500000000000001,350.0000000000001,66,9
F5,MonkeyB_Session12,Object1,Event1,,,46,0
F5,MonkeyB_Session12,Object1,Event3,0.33,330.0,66,11
F5,MonkeyB_Session12,Object2,Event1,,,46,0
F5,MonkeyB_Session12,Object2,Event3,0.3899999999999999,389.9999999999999,66,3
F5,MonkeyB_Session12,Object3,Event1,,,46,0
F5,MonkeyB_Session12,Object3,Event3,,,66,0
F5,MonkeyC_Session02,Object1,Event1,,,46,0
F5,MonkeyC_Session02,Object1,Event3,,,66,0
F5,MonkeyC_Session02,Object2,Event1,,,46,0
F5,MonkeyC_Session02,Object2,Event3,,,66,0
F5,MonkeyC_Session02,Object3,Event1,,,46,0
F5,MonkeyC_Session02,Object3,Event3,,,66,0
F5,MonkeyC_Session06,Object1,Event1,,,46,0
F5,MonkeyC_Session06,Object1,Event3,,,66,0
F5,MonkeyC_Session06,Object2,Event1,,,46,0
F5,MonkeyC_Session06,Object2,Event3,,,66,0
F5,MonkeyC_Session06,Object3,Event1,,,46,0
F5,MonkeyC_Session06,Object3,Event3,,,66,0
F5,MonkeyC_Session08,Object1,Event1,,,46,0
F5,MonkeyC_Session08,Object1,Event3,,,66,0
F5,MonkeyC_Session08,Object2,Event1,,,46,0
F5,MonkeyC_Session08,Object2,Event3,,,66,0
F5,MonkeyC_Session08,Object3,Event1,,,46,0
F5,MonkeyC_Session08,Object3,Event3,0.47,470.0,66,4
F5,MonkeyC_Session09,Object1,Event1,,,46,0
F5,MonkeyC_Session09,Object1,Event3,,,66,0
F5,MonkeyC_Session09,Object2,Event1,,,46,0
F5,MonkeyC_Session09,Object2,Event3,,,66,0
F5,MonkeyC_Session09,Object3,Event1,,,46,0
F5,MonkeyC_Session09,Object3,Event3,,,66,0
F5,MonkeyC_Session10,Object1,Event1,,,46,0
F5,MonkeyC_Session10,Object1,Event3,,,66,0
F5,MonkeyC_Session10,Object2,Event1,,,46,0
F5,MonkeyC_Session10,Object2,Event3,0.53,530.0,66,3
F5,MonkeyC_Session10,Object3,Event1,,,46,0
F5,MonkeyC_Session10,Object3,Event3,,,66,0
F5,MonkeyC_Session11,Object1,Event1,,,46,0
F5,MonkeyC_Session11,Object1,Event3,,,66,0
F5,MonkeyC_Session11,Object2,Event1,0.0099999999999999,9.999999999999899,46,4
F5,MonkeyC_Session11,Object2,Event3,,,66,3
F5,MonkeyC_Session11,Object3,Event1,,,46,0
F5,MonkeyC_Session11,Object3,Event3,,,66,0
F5,MonkeyC_Session12,Object1,Event1,,,46,0
F5,MonkeyC_Session12,Object1,Event3,,,66,0
F5,MonkeyC_Session12,Object2,Event1,,,46,0
F5,MonkeyC_Session12,Object2,Event3,,,66,0
F5,MonkeyC_Session12,Object3,Event1,,,46,0
F5,MonkeyC_Session12,Object3,Event3,,,66,0
F6,MonkeyB_Session01,Object1,Event1,,,46,0
F6,MonkeyB_Session01,Object1,Event3,,,66,0
F6,MonkeyB_Session01,Object2,Event1,,,46,0
F6,MonkeyB_Session01,Object2,Event3,,,66,0
F6,MonkeyB_Session01,Object3,Event1,,,46,0
F6,MonkeyB_Session01,Object3,Event3,0.3899999999999999,389.9999999999999,66,9
F6,MonkeyB_Session02,Object1,Event1,,,46,0
F6,MonkeyB_Session02,Object1,Event3,,,66,0
F6,MonkeyB_Session02,Object2,Event1,,,46,0
F6,MonkeyB_Session02,Object2,Event3,,,66,0
F6,MonkeyB_Session02,Object3,Event1,,,46,0
F6,MonkeyB_Session02,Object3,Event3,,,66,0
F6,MonkeyB_Session03,Object1,Event1,,,46,0
F6,MonkeyB_Session03,Object1,Event3,,,66,0
F6,MonkeyB_Session03,Object2,Event1,,,46,0
F6,MonkeyB_Session03,Object2,Event3,,,66,0
F6,MonkeyB_Session03,Object3,Event1,,,46,0
F6,MonkeyB_Session03,Object3,Event3,,,66,0
F6,MonkeyB_Session04,Object1,Event1,,,46,0
F6,MonkeyB_Session04,Object1,Event3,,,66,0
F6,MonkeyB_Session04,Object2,Event1,,,46,0
F6,MonkeyB_Session04,Object2,Event3,,,66,0
F6,MonkeyB_Session04,Object3,Event1,,,46,0
F6,MonkeyB_Session04,Object3,Event3,,,66,0
F6,MonkeyB_Session05,Object1,Event1,,,46,0
F6,MonkeyB_Session05,Object1,Event3,,,66,0
F6,MonkeyB_Session05,Object2,Event1,,,46,0
F6,MonkeyB_Session05,Object2,Event3,,,66,0
F6,MonkeyB_Session05,Object3,Event1,,,46,0
F6,MonkeyB_Session05,Object3,Event3,,,66,0
F6,MonkeyB_Session06,Object1,Event1,,,46,0
F6,MonkeyB_Session06,Object1,Event3,0.49,490.0,66,3
F6,MonkeyB_Session06,Object2,Event1,,,46,0
F6,MonkeyB_Session06,Object2,Event3,,,66,0
F6,MonkeyB_Session06,Object3,Event1,,,46,0
F6,MonkeyB_Session06,Object3,Event3,,,66,0
F6,MonkeyB_Session09,Object1,Event1,0.27,270.0,46,4
F6,MonkeyB_Session09,Object1,Event3,,,66,0
F6,MonkeyB_Session09,Object2,Event1,,,46,0
F6,MonkeyB_Session09,Object2,Event3,,,66,0
F6,MonkeyB_Session09,Object3,Event1,,,46,0
F6,MonkeyB_Session09,Object3,Event3,0.33,330.0,66,12
F6,MonkeyB_Session10,Object1,Event1,,,46,0
F6,MonkeyB_Session10,Object1,Event3,,,66,0
F6,MonkeyB_Session10,Object2,Event1,,,46,0
F6,MonkeyB_Session10,Object2,Event3,0.49,490.0,66,4
F6,MonkeyB_Session10,Object3,Event1,,,46,0
F6,MonkeyB_Session10,Object3,Event3,0.51,510.0,66,4
F6,MonkeyC_Session01,Object1,Event1,,,46,0
F6,MonkeyC_Session01,Object1,Event3,,,66,0
F6,MonkeyC_Session01,Object2,Event1,,,46,0
