area,session,object,event,start_bin,stop_bin,center_time_s,acc,auc,n_pcs_used,p_auc,null_auc_mean,null_auc_ci95_high,q_auc
AIP,MonkeyA_Session01,Object1,Event1,0,5,-0.15,0.374,0.38,8,0.5104895104895105,0.5107708333333334,0.8125,0.9600399600399598
AIP,MonkeyA_Session01,Object1,Event1,1,6,-0.13,0.31,0.2916666666666667,8,0.8791208791208791,0.4965416666666666,0.7916666666666666,0.9600399600399598
AIP,MonkeyA_Session01,Object1,Event1,2,7,-0.11,0.3989999999999999,0.3849999999999999,8,0.8731268731268731,0.5222916666666666,0.8125,0.9600399600399598
AIP,MonkeyA_Session01,Object1,Event1,3,8,-0.09,0.372,0.3,8,0.7132867132867133,0.50415625,0.8125,0.9600399600399598
AIP,MonkeyA_Session01,Object1,Event1,4,9,-0.07,0.2679999999999999,0.225,8,0.934065934065934,0.50065625,0.8229166666666666,0.9600399600399598
AIP,MonkeyA_Session01,Object1,Event1,5,10,-0.05,0.29,0.1766666666666666,8,0.8031968031968032,0.4977291666666666,0.7916666666666666,0.9600399600399598
AIP,MonkeyA_Session01,Object1,Event1,6,11,-0.03,0.256,0.1516666666666666,8,0.8751248751248751,0.4888645833333333,0.7916666666666666,0.9600399600399598
AIP,MonkeyA_Session01,Object1,Event1,7,12,-0.01,0.313,0.2433333333333333,8,0.8531468531468531,0.4932083333333333,0.7921874999999995,0.9600399600399598
AIP,MonkeyA_Session01,Object1,Event1,8,13,0.0099999999999999,0.409,0.4366666666666667,8,0.6063936063936064,0.5133333333333333,0.8125,0.9600399600399598
AIP,MonkeyA_Session01,Object1,Event1,9,14,0.03,0.504,0.5483333333333333,8,0.0469530469530469,0.4778541666666666,0.8125,0.48711288711288675
AIP,MonkeyA_Session01,Object1,Event1,10,15,0.0499999999999999,0.3959999999999999,0.3466666666666666,8,0.4065934065934066,0.51475,0.7916666666666666,0.9600399600399598
AIP,MonkeyA_Session01,Object1,Event1,11,16,0.07,0.362,0.3766666666666666,8,0.6033966033966034,0.5301354166666667,0.8130208333333329,0.9600399600399598
AIP,MonkeyA_Session01,Object1,Event1,12,17,0.0899999999999999,0.433,0.36,8,0.2257742257742257,0.5180208333333334,0.8125,0.9441467623285802
AIP,MonkeyA_Session01,Object1,Event1,13,18,0.1099999999999999,0.361,0.3366666666666666,8,0.8391608391608392,0.5403333333333332,0.8333333333333334,0.9600399600399598
AIP,MonkeyA_Session01,Object1,Event1,14,19,0.13,0.6350000000000001,0.6566666666666667,8,0.1318681318681318,0.5032916666666666,0.7916666666666666,0.8329170829170827
AIP,MonkeyA_Session01,Object1,Event1,15,20,0.15,0.6580000000000001,0.7566666666666667,8,0.1448551448551448,0.5107499999999999,0.8125,0.8329170829170827
AIP,MonkeyA_Session01,Object1,Event1,16,21,0.1699999999999999,0.7529999999999998,0.825,8,0.0529470529470529,0.5357708333333333,0.8541666666666666,0.48711288711288675
AIP,MonkeyA_Session01,Object1,Event1,17,22,0.19,0.743,0.8616666666666667,8,0.0069930069930069,0.4944791666666666,0.7916666666666666,0.3216783216783174
AIP,MonkeyA_Session01,Object1,Event1,18,23,0.21,0.528,0.5416666666666666,8,0.7032967032967034,0.5366041666666668,0.8333333333333334,0.9600399600399598
AIP,MonkeyA_Session01,Object1,Event1,19,24,0.2299999999999999,0.574,0.6100000000000001,8,0.7012987012987013,0.5159375,0.8333333333333334,0.9600399600399598
AIP,MonkeyA_Session01,Object1,Event1,20,25,0.25,0.365,0.335,8,0.96003996003996,0.5000416666666666,0.7916666666666666,0.9600399600399598
AIP,MonkeyA_Session01,Object1,Event1,21,26,0.27,0.409,0.3949999999999999,8,0.7982017982017982,0.4689791666666666,0.7916666666666666,0.9600399600399598
AIP,MonkeyA_Session01,Object1,Event1,22,27,0.29,0.46,0.4133333333333333,8,0.7192807192807192,0.4652708333333333,0.7916666666666666,0.9600399600399598
AIP,MonkeyA_Session01,Object1,Event1,23,28,0.31,0.523,0.5033333333333334,8,0.8321678321678322,0.5000833333333333,0.7916666666666666,0.9600399600399598
AIP,MonkeyA_Session01,Object1,Event1,24,29,0.33,0.3559999999999999,0.32,8,0.9410589410589412,0.5003125,0.8125,0.9600399600399598
AIP,MonkeyA_Session01,Object1,Event1,25,30,0.35,0.35,0.3266666666666667,8,0.8721278721278721,0.5111875,0.8125,0.9600399600399598
AIP,MonkeyA_Session01,Object1,Event1,26,31,0.37,0.4029999999999999,0.3333333333333333,8,0.7852147852147852,0.5148541666666667,0.8130208333333329,0.9600399600399598
AIP,MonkeyA_Session01,Object1,Event1,27,32,0.3899999999999999,0.528,0.5766666666666667,8,0.2057942057942058,0.5245416666666668,0.8333333333333334,0.9441467623285802
AIP,MonkeyA_Session01,Object1,Event1,28,33,0.41,0.584,0.7133333333333334,8,0.0389610389610389,0.5064583333333333,0.7921874999999995,0.48711288711288675
AIP,MonkeyA_Session01,Object1,Event1,29,34,0.43,0.309,0.325,8,0.4895104895104895,0.51125,0.8125,0.9600399600399598
AIP,MonkeyA_Session01,Object1,Event1,30,35,0.45,0.44,0.5166666666666666,8,0.7402597402597403,0.5137708333333334,0.8333333333333334,0.9600399600399598
AIP,MonkeyA_Session01,Object1,Event1,31,36,0.47,0.4690000000000001,0.4150000000000001,8,0.6713286713286714,0.5164270833333332,0.8125,0.9600399600399598
AIP,MonkeyA_Session01,Object1,Event1,32,37,0.49,0.374,0.39,8,0.8921078921078921,0.5266041666666668,0.8333333333333334,0.9600399600399598
AIP,MonkeyA_Session01,Object1,Event1,33,38,0.51,0.542,0.5116666666666667,8,0.4375624375624375,0.5235208333333332,0.8333333333333334,0.9600399600399598
AIP,MonkeyA_Session01,Object1,Event1,34,39,0.53,0.628,0.715,8,0.0909090909090909,0.5103125,0.7921874999999995,0.6969696969696969
AIP,MonkeyA_Session01,Object1,Event1,35,40,0.55,0.57,0.5533333333333332,8,0.2927072927072927,0.5005208333333334,0.7916666666666666,0.9600399600399598
AIP,MonkeyA_Session01,Object1,Event1,36,41,0.5700000000000001,0.5780000000000001,0.6533333333333334,8,0.1638361638361638,0.4895,0.7916666666666666,0.8373848373848373
AIP,MonkeyA_Session01,Object1,Event1,37,42,0.5900000000000001,0.621,0.6433333333333334,8,0.0189810189810189,0.4935,0.8125,0.4365634365634347
AIP,MonkeyA_Session01,Object1,Event1,38,43,0.6100000000000001,0.298,0.2416666666666666,8,0.6033966033966034,0.53015625,0.8440104166666664,0.9600399600399598
AIP,MonkeyA_Session01,Object1,Event1,39,44,0.6300000000000001,0.4109999999999999,0.35,8,0.6603396603396603,0.5207708333333333,0.8333333333333334,0.9600399600399598
AIP,MonkeyA_Session01,Object1,Event1,40,45,0.6499999999999999,0.367,0.3033333333333333,8,0.6053946053946054,0.4978333333333333,0.7916666666666666,0.9600399600399598
AIP,MonkeyA_Session01,Object1,Event1,41,46,0.6699999999999999,0.314,0.2541666666666666,8,0.8511488511488512,0.50575,0.7815104166666664,0.9600399600399598
AIP,MonkeyA_Session01,Object1,Event1,42,47,0.69,0.369,0.3916666666666667,8,0.8991008991008991,0.5186458333333334,0.8125,0.9600399600399598
