model,formula,model_type,optimizer,term,coef,se,p_value,ci_low,ci_high
delta_auc_full,"delta_auc ~ C(event, Treatment('Event1')) * C(area, Treatment('AIP')) + log_n_neurons",MixedLM,bfgs,Intercept,-0.15967668920257452,0.10191717331349272,0.11717782398789685,-0.359430678303147,0.04007729989799794
delta_auc_full,"delta_auc ~ C(event, Treatment('Event1')) * C(area, Treatment('AIP')) + log_n_neurons",MixedLM,bfgs,"C(event, Treatment('Event1'))[T.Event3]",0.24374999999999858,0.08655179821029994,0.004859046578165511,0.07411159271063239,0.41338840728936477
delta_auc_full,"delta_auc ~ C(event, Treatment('Event1')) * C(area, Treatment('AIP')) + log_n_neurons",MixedLM,bfgs,"C(area, Treatment('AIP'))[T.F5]",0.0955925125966134,0.07390656545592413,0.19586451430566698,-0.04926169391804995,0.24044671911127674
delta_auc_full,"delta_auc ~ C(event, Treatment('Event1')) * C(area, Treatment('AIP')) + log_n_neurons",MixedLM,bfgs,"C(area, Treatment('AIP'))[T.F6]",0.1617380470555967,0.07180363172075906,0.024290370436056283,0.02100551492373115,0.30247057918746223
delta_auc_full,"delta_auc ~ C(event, Treatment('Event1')) * C(area, Treatment('AIP')) + log_n_neurons",MixedLM,bfgs,"C(event, Treatment('Event1'))[T.Event3]:C(area, Treatment('AIP'))[T.F5]",-0.03073257080609878,0.09619694542116562,0.7493659387946869,-0.21927511925434867,0.1578099776421511
delta_auc_full,"delta_auc ~ C(event, Treatment('Event1')) * C(area, Treatment('AIP')) + log_n_neurons",MixedLM,bfgs,"C(event, Treatment('Event1'))[T.Event3]:C(area, Treatment('AIP'))[T.F6]",-0.15691951566951426,0.09897576787679674,0.11286783450852667,-0.35090845605023224,0.03706942471120375
delta_auc_full,"delta_auc ~ C(event, Treatment('Event1')) * C(area, Treatment('AIP')) + log_n_neurons",MixedLM,bfgs,log_n_neurons,0.036051885375535074,0.029041355979907653,0.21445870491212116,-0.020868126407290855,0.092971897158361
auc_post_logit_full,"auc_post_logit ~ C(event, Treatment('Event1')) * C(area, Treatment('AIP')) + log_n_neurons",MixedLM,bfgs,Intercept,-1.1316974549733263,0.6546761765920138,0.083874085106897,-2.4148391826300575,0.1514442726834051
auc_post_logit_full,"auc_post_logit ~ C(event, Treatment('Event1')) * C(area, Treatment('AIP')) + log_n_neurons",MixedLM,bfgs,"C(event, Treatment('Event1'))[T.Event3]",1.4000675844336328,0.5346054451652769,0.008821893778564016,0.35226016597068743,2.447875002896578
auc_post_logit_full,"auc_post_logit ~ C(event, Treatment('Event1')) * C(area, Treatment('AIP')) + log_n_neurons",MixedLM,bfgs,"C(area, Treatment('AIP'))[T.F5]",0.6249760130324669,0.47926484640585526,0.19222315796968514,-0.31436582497913024,1.564317851044064
auc_post_logit_full,"auc_post_logit ~ C(event, Treatment('Event1')) * C(area, Treatment('AIP')) + log_n_neurons",MixedLM,bfgs,"C(area, Treatment('AIP'))[T.F6]",0.7844675324650331,0.4651833747679222,0.0917261098944516,-0.1272751282868929,1.696210193216959
auc_post_logit_full,"auc_post_logit ~ C(event, Treatment('Event1')) * C(area, Treatment('AIP')) + log_n_neurons",MixedLM,bfgs,"C(event, Treatment('Event1'))[T.Event3]:C(area, Treatment('AIP'))[T.F5]",0.2900938581819079,0.5941807321607102,0.6253905139594917,-0.8744789771607242,1.45466669352454
auc_post_logit_full,"auc_post_logit ~ C(event, Treatment('Event1')) * C(area, Treatment('AIP')) + log_n_neurons",MixedLM,bfgs,"C(event, Treatment('Event1'))[T.Event3]:C(area, Treatment('AIP'))[T.F6]",-0.42069777038819806,0.6113447154244475,0.4913573950961221,-1.6189113947590035,0.7775158539826075
auc_post_logit_full,"auc_post_logit ~ C(event, Treatment('Event1')) * C(area, Treatment('AIP')) + log_n_neurons",MixedLM,bfgs,log_n_neurons,0.32010869341434706,0.18861615125089806,0.08966951549824043,-0.0495721699399726,0.6897895567686667
auc_full_logit_full,"auc_full_logit ~ C(event, Treatment('Event1')) * C(area, Treatment('AIP')) + log_n_neurons",MixedLM,bfgs,Intercept,-0.42720512628504503,0.3867969540781974,0.26938987693896455,-1.1853132256081051,0.3309029730380151
auc_full_logit_full,"auc_full_logit ~ C(event, Treatment('Event1')) * C(area, Treatment('AIP')) + log_n_neurons",MixedLM,bfgs,"C(event, Treatment('Event1'))[T.Event3]",0.9752050571374294,0.2969101743136237,0.0010215911506703472,0.39327180883921753,1.5571383054356414
auc_full_logit_full,"auc_full_logit ~ C(event, Treatment('Event1')) * C(area, Treatment('AIP')) + log_n_neurons",MixedLM,bfgs,"C(area, Treatment('AIP'))[T.F5]",0.3517341970760858,0.27813863176565584,0.2060146456021602,-0.19340750389384787,0.8968758980460194
