area,session,event,n_neurons,n_bins,dpca_available,var_t,var_d,var_o,var_dt,var_ot,var_do,var_dot,total_var
AIP,MonkeyA_Session01,Event1,13,50,False,0.5010070079260414,0.004414559999009362,0.002608402612117539,0.09142146001554959,0.19600699465847968,0.008439053686745784,0.19610252110205673,130853.81944444445
AIP,MonkeyA_Session01,Event3,13,70,False,0.16370052309958016,0.004628522793562147,0.02618844973175605,0.17350266331321904,0.3279317962302403,0.007027895456588461,0.2970201493750538,86449.23941798942
AIP,MonkeyA_Session02,Event1,55,50,False,0.41628318756969324,0.004369146908125933,0.011042666672651136,0.11493521657553772,0.2240677857360957,0.00640804692915519,0.2228939496087411,438377.48842592596
AIP,MonkeyA_Session02,Event3,55,70,False,0.24640131485090616,0.00885028193061965,0.008757812527633439,0.1662234367323166,0.2818369712211301,0.015063922632922245,0.27286626010447196,490831.5972222222
AIP,MonkeyB_Session01,Event1,11,50,False,0.24899987751483835,0.00350432123498263,0.007770541695817384,0.1414018530551744,0.2638247341137783,0.010378022425164704,0.32412064996024426,111502.54629629629
AIP,MonkeyB_Session01,Event3,11,70,False,0.187159032318505,0.009852692388172143,0.004787805101539787,0.169304326776451,0.29562617701804317,0.0152890284481073,0.3179809379491815,151122.47850529102
AIP,MonkeyB_Session02,Event1,7,50,False,0.27879627190432804,0.004242894292622848,0.003317198659580955,0.15153593362070616,0.29028578829090684,0.016379956114079827,0.25544195711777523,39322.2800925926
AIP,MonkeyB_Session02,Event3,7,70,False,0.1849821381689589,0.019306211085826558,0.009449701268320026,0.17404108514712635,0.28013088331137126,0.025618034452070802,0.3064719465663262,49281.04332010582
F5,MonkeyB_Session01,Event1,5,50,False,0.2239242356829594,0.006282336490179883,0.010688362041568651,0.1677467742960656,0.2711396427890422,0.0076527045064514335,0.3125659441937329,29135.185185185186
F5,MonkeyB_Session01,Event3,5,70,False,0.1439825244043962,0.07752884155915075,0.00992422690968669,0.1907352037681753,0.2933183152433614,0.011068332309372625,0.2734425558058571,38753.968253968254
F5,MonkeyB_Session02,Event1,4,50,False,0.6309030003681222,0.0013245519172745699,0.009988612293906051,0.09429930439044047,0.1280858905977456,0.009777601425699504,0.12562103900681162,96888.11111111111
F5,MonkeyB_Session02,Event3,4,70,False,0.2414761816139683,0.1468914015574394,0.003793768645455696,0.2299225636544089,0.16209043525484632,0.016529369640509193,0.1992962796333723,109313.20105820106
F5,MonkeyB_Session03,Event1,4,50,False,0.28906242354852285,0.022203955415945,0.007821641412340994,0.15191319166306688,0.23046232261509836,0.018929909984720196,0.27960655536030576,52986.88888888889
F5,MonkeyB_Session03,Event3,4,70,False,0.21434047925545943,0.018038746279333613,0.020112226450240626,0.1546214172263528,0.3134577893620374,0.022200226294420016,0.2572291151321555,74702.51322751323
F5,MonkeyB_Session04,Event1,9,50,False,0.19601737039645065,0.005204478452324789,0.018304214354787175,0.1592166443703231,0.3040358918099328,0.01524405849712036,0.3019773421190611,107087.25925925927
F5,MonkeyB_Session04,Event3,9,70,False,0.1891048232965113,0.021026081080846616,0.008351217801847626,0.17910707301104034,0.2982878679217352,0.008440764953388958,0.29568217193463,167804.94708994706
F5,MonkeyB_Session06,Event1,6,50,False,0.4920953838637145,0.007546486255623307,0.0059078966392293875,0.08813484961037794,0.21258456767657627,0.004613311130942612,0.18911750482353581,89146.22222222223
F5,MonkeyB_Session06,Event3,6,70,False,0.22353177711491698,0.11117390732385272,0.009843025768439163,0.21573970237641443,0.23123029885733068,0.01601800450256862,0.19246328405647714,110001.87830687832
F5,MonkeyB_Session07,Event1,4,50,False,0.23974079990742853,0.010485003744644263,0.008554824483865915,0.1562561272343312,0.30813278861885307,0.0042830372439419,0.2725474187669353,46090.51851851852
F5,MonkeyB_Session07,Event3,4,70,False,0.17259364982103226,0.013736054340434753,0.010876306763411347,0.1820001046157985,0.32473117476069135,0.006114793421160802,0.2899479162774709,70805.82010582011
F5,MonkeyB_Session08,Event1,4,50,False,0.12333406488767043,0.001704161824616444,0.05986393089329979,0.12937598415045554,0.34225110062949643,0.056839373453691965,0.2866313841607692,61766.0
F5,MonkeyB_Session08,Event3,4,70,False,0.15434008888129322,0.028440726197506518,0.04435051279695146,0.13998657357522748,0.2697248168206063,0.04776155044186051,0.3153957312865547,90400.582010582
F5,MonkeyB_Session10,Event1,7,50,False,0.31253622536775444,0.007649906432095179,0.012148411033101629,0.13806350236354842,0.2520579352044011,0.006911853704371943,0.27063216589472744,69995.5313244956
F5,MonkeyB_Session10,Event3,7,70,False,0.19263001330489518,0.028215267416737338,0.007931439474177973,0.20561812825535375,0.27683838731766225,0.013405134936349788,0.2753616292948237,88641.33093685488
F5,MonkeyB_Session11,Event1,4,50,False,0.3473319648261658,0.003135708986888672,0.004426963193929062,0.1088521770551519,0.26557586739115724,0.029779616695332686,0.24089770185137452,39222.384920634926
F5,MonkeyB_Session11,Event3,4,70,False,0.2696056106438231,0.0702819348030733,0.011065341045925449,0.245775558797401,0.19657788155771402,0.011737966145247618,0.19495570700681564,45691.39955188424
F5,MonkeyB_Session12,Event1,4,50,False,0.2567644340942159,0.00930012277489362,0.009954721101897074,0.11553610195243254,0.2951222872128088,0.009218675056787166,0.30410365780696486,36833.444444444445
F5,MonkeyB_Session12,Event3,4,70,False,0.21296288372904973,0.06004973481043127,0.007739188326524635,0.20561048367359863,0.268223974369287,0.005336308978793442,0.2400774261123158,61830.582010582
F5,MonkeyC_Session02,Event1,4,50,False,0.18945023315228107,0.01130638793353076,0.0012147064819980312,0.1580968327022087,0.3063733213991229,0.0017120197733480518,0.3318464985575105,74708.31727135298
F5,MonkeyC_Session02,Event3,4,70,False,0.29000267334894997,0.00917782810789324,0.007431277443335487,0.17627159579953183,0.28445906377958174,0.0017976901624624836,0.23085987135824546,103689.18988230213
F5,MonkeyC_Session06,Event1,9,50,False,0.2244768866840256,0.00511212561801025,0.006375404021471388,0.15983345126367182,0.3063601171022971,0.017801252066122618,0.28004076324440136,98849.94444444444
F5,MonkeyC_Session06,Event3,9,70,False,0.3636478678759731,0.010384438463289083,0.008067021629392117,0.11892727792068448,0.2486391995886696,0.007496604020634129,0.24283759050135748,173501.40046296298
F5,MonkeyC_Session08,Event1,6,50,False,0.23655278527920595,0.003610273411421141,0.005080963235702465,0.1491795633553942,0.29847888219924296,0.007257118858238597,0.2998404136607946,58104.504629629635
F5,MonkeyC_Session08,Event3,6,70,False,0.4345454059984295,0.038682388507004575,0.005933468095845581,0.16778949339239407,0.17984513713467135,0.009314633864137221,0.16388947300751772,154192.14616402116
F5,MonkeyC_Session09,Event1,5,50,False,0.20666820472520422,0.0021628948184249847,0.007896368499599866,0.14770769197493927,0.2966211978111504,0.010322415520933239,0.3286212266497481,41097.18518518518
F5,MonkeyC_Session09,Event3,5,70,False,0.3541263255358159,0.013749913905015728,0.004314775468640015,0.131438924000143,0.23162471479674177,0.0051813923237276245,0.25956395396991605,60687.24867724867
F5,MonkeyC_Session10,Event1,6,50,False,0.23092173341199002,0.006561705172964063,0.005785615504385781,0.15639294798023273,0.3103319052638705,0.01585785712213379,0.27414823554442336,30637.925925925923
F5,MonkeyC_Session10,Event3,6,70,False,0.501333250464168,0.0032546246328285177,0.003949890747209309,0.20171205222241653,0.14309494997469863,0.001152128771262085,0.14550310318741713,114074.55026455026
F5,MonkeyC_Session11,Event1,4,50,False,0.23881142721622187,0.006942893564038468,0.016937260985997623,0.1338715574572369,0.298684743618882,0.040186962064092786,0.26456515509353046,37480.370370370365
F5,MonkeyC_Session11,Event3,4,70,False,0.27269424536075215,0.006806984871457675,0.0050534846214837035,0.17751101153971724,0.294563494628627,0.009224900521795183,0.234145878456167,64662.80423280423
F5,MonkeyC_Session12,Event1,6,50,False,0.25090997322475567,0.011975421436621206,0.006276523491638965,0.14783431313847642,0.3014155744886481,0.006415562561276848,0.27517263165858274,108682.48148148147
F5,MonkeyC_Session12,Event3,6,70,False,0.3291540780820248,0.004689133401410943,0.0022256139020206582,0.13596797593577845,0.2652140629517919,0.003098403667518892,0.2596507320594545,187927.4603174603
F6,MonkeyB_Session01,Event1,41,50,False,0.4052650073533102,0.010220264644800721,0.006447486580905939,0.11832787025451191,0.22227671873169802,0.006798511861047533,0.2306641405737255,311257.5231481482
F6,MonkeyB_Session01,Event3,41,70,False,0.1958547921347433,0.02791021671350129,0.00771731913427879,0.17213490948749136,0.2959056745428202,0.007522777803942345,0.2929543101832229,268573.6607142857
F6,MonkeyB_Session02,Event1,12,50,False,0.25246039238913054,0.016823686581452574,0.025536369194749386,0.12430458093552156,0.26615075651780834,0.018317617422163677,0.29640659695917393,166297.8587962963
F6,MonkeyB_Session02,Event3,12,70,False,0.18293694118239556,0.022401267687459606,0.004810935063393352,0.18490196466375167,0.30875645040316707,0.009762614371561245,0.28642982662827143,183853.5052910053
F6,MonkeyB_Session03,Event1,8,50,False,0.15752156632589212,0.006326409956543613,0.007720291549970414,0.17502923699007888,0.3453891864133226,0.006503342295028208,0.30150996646916417,53640.509259259255
F6,MonkeyB_Session03,Event3,8,70,False,0.17131586668550255,0.01626332547297951,0.005311715549373557,0.15017332623365898,0.33433163448268366,0.008441367918889858,0.3141627636569119,76077.2156084656
F6,MonkeyB_Session04,Event1,12,50,False,0.2125700585431,0.005100891677393962,0.005081035019768717,0.1461217394659013,0.3055338235469323,0.008040244339008745,0.31755220740789486,102004.22453703705
