area,session,context,condition,n_objects,n_complete,n_total,n_neurons
AIP,MonkeyA_Session01,Context1,Condition1,3,3,3,13
AIP,MonkeyA_Session01,Context2,Condition1,3,3,3,13
AIP,MonkeyA_Session01,Context2,Condition2,3,3,3,13
AIP,MonkeyA_Session02,Context1,Condition1,3,3,3,55
AIP,MonkeyA_Session02,Context2,Condition1,3,3,3,55
AIP,MonkeyA_Session02,Context2,Condition2,3,3,3,55
AIP,MonkeyB_Session01,Context1,Condition1,3,3,3,11
AIP,MonkeyB_Session01,Context2,Condition1,3,3,3,11
AIP,MonkeyB_Session01,Context2,Condition2,3,3,3,11
AIP,MonkeyB_Session02,Context1,Condition1,3,3,3,7
AIP,MonkeyB_Session02,Context2,Condition1,3,3,3,7
AIP,MonkeyB_Session02,Context2,Condition2,3,3,3,7
F5,MonkeyB_Session01,Context1,Condition1,3,3,3,5
F5,MonkeyB_Session01,Context2,Condition1,3,3,3,5
F5,MonkeyB_Session01,Context2,Condition2,3,3,3,5
F5,MonkeyB_Session02,Context1,Condition1,3,3,3,4
F5,MonkeyB_Session02,Context2,Condition1,3,3,3,4
F5,MonkeyB_Session02,Context2,Condition2,3,3,3,4
F5,MonkeyB_Session03,Context1,Condition1,3,3,3,4
F5,MonkeyB_Session03,Context2,Condition1,3,3,3,4
F5,MonkeyB_Session03,Context2,Condition2,3,3,3,4
F5,MonkeyB_Session04,Context1,Condition1,3,3,3,9
F5,MonkeyB_Session04,Context2,Condition1,3,3,3,9
F5,MonkeyB_Session04,Context2,Condition2,3,3,3,9
F5,MonkeyB_Session05,Context1,Condition1,3,3,3,1
F5,MonkeyB_Session05,Context2,Condition1,3,3,3,1
F5,MonkeyB_Session05,Context2,Condition2,3,3,3,1
F5,MonkeyB_Session06,Context1,Condition1,3,3,3,6
F5,MonkeyB_Session06,Context2,Condition1,3,3,3,6
F5,MonkeyB_Session06,Context2,Condition2,3,3,3,6
F5,MonkeyB_Session07,Context1,Condition1,3,3,3,4
F5,MonkeyB_Session07,Context2,Condition1,3,3,3,4
F5,MonkeyB_Session07,Context2,Condition2,3,3,3,4
F5,MonkeyB_Session08,Context1,Condition1,3,3,3,4
F5,MonkeyB_Session08,Context2,Condition1,3,3,3,4
F5,MonkeyB_Session08,Context2,Condition2,3,3,3,4
F5,MonkeyB_Session09,Context1,Condition1,3,3,3,2
F5,MonkeyB_Session09,Context2,Condition1,3,3,3,2
F5,MonkeyB_Session09,Context2,Condition2,3,3,3,2
F5,MonkeyB_Session10,Context1,Condition1,3,3,3,7
F5,MonkeyB_Session10,Context2,Condition1,3,3,3,7
F5,MonkeyB_Session10,Context2,Condition2,3,3,3,7
F5,MonkeyB_Session11,Context1,Condition1,3,3,3,4
F5,MonkeyB_Session11,Context2,Condition1,3,3,3,4
F5,MonkeyB_Session11,Context2,Condition2,3,3,3,4
F5,MonkeyB_Session12,Context1,Condition1,3,3,3,4
