area,session,context,condition,object,n_files,events_list,events_set,is_complete,missing_events,n_neurons
AIP,MonkeyA_Session01,Context1,Condition1,Object1,6,"['Event1', 'Event2', 'Event3', 'Event4', 'Event5', 'Event6']","{'Event6', 'Event2', 'Event4', 'Event3', 'Event5', 'Event1'}",True,,13
AIP,MonkeyA_Session01,Context1,Condition1,Object2,6,"['Event1', 'Event2', 'Event3', 'Event4', 'Event5', 'Event6']","{'Event6', 'Event2', 'Event4', 'Event3', 'Event5', 'Event1'}",True,,13
AIP,MonkeyA_Session01,Context1,Condition1,Object3,6,"['Event1', 'Event2', 'Event3', 'Event4', 'Event5', 'Event6']","{'Event6', 'Event2', 'Event4', 'Event3', 'Event5', 'Event1'}",True,,13
AIP,MonkeyA_Session01,Context2,Condition1,Object1,6,"['Event1', 'Event2', 'Event3', 'Event4', 'Event5', 'Event6']","{'Event6', 'Event2', 'Event4', 'Event3', 'Event5', 'Event1'}",True,,13
AIP,MonkeyA_Session01,Context2,Condition1,Object2,6,"['Event1', 'Event2', 'Event3', 'Event4', 'Event5', 'Event6']","{'Event6', 'Event2', 'Event4', 'Event3', 'Event5', 'Event1'}",True,,13
AIP,MonkeyA_Session01,Context2,Condition1,Object3,6,"['Event1', 'Event2', 'Event3', 'Event4', 'Event5', 'Event6']","{'Event6', 'Event2', 'Event4', 'Event3', 'Event5', 'Event1'}",True,,13
AIP,MonkeyA_Session01,Context2,Condition2,Object1,4,"['Event1', 'Event2', 'Event3', 'Event6']","{'Event6', 'Event2', 'Event3', 'Event1'}",True,,13
AIP,MonkeyA_Session01,Context2,Condition2,Object2,4,"['Event1', 'Event2', 'Event3', 'Event6']","{'Event6', 'Event2', 'Event3', 'Event1'}",True,,13
AIP,MonkeyA_Session01,Context2,Condition2,Object3,4,"['Event1', 'Event2', 'Event3', 'Event6']","{'Event6', 'Event2', 'Event3', 'Event1'}",True,,13
AIP,MonkeyA_Session02,Context1,Condition1,Object1,6,"['Event1', 'Event2', 'Event3', 'Event4', 'Event5', 'Event6']","{'Event6', 'Event2', 'Event4', 'Event3', 'Event5', 'Event1'}",True,,55
AIP,MonkeyA_Session02,Context1,Condition1,Object2,6,"['Event1', 'Event2', 'Event3', 'Event4', 'Event5', 'Event6']","{'Event6', 'Event2', 'Event4', 'Event3', 'Event5', 'Event1'}",True,,55
AIP,MonkeyA_Session02,Context1,Condition1,Object3,6,"['Event1', 'Event2', 'Event3', 'Event4', 'Event5', 'Event6']","{'Event6', 'Event2', 'Event4', 'Event3', 'Event5', 'Event1'}",True,,55
AIP,MonkeyA_Session02,Context2,Condition1,Object1,6,"['Event1', 'Event2', 'Event3', 'Event4', 'Event5', 'Event6']","{'Event6', 'Event2', 'Event4', 'Event3', 'Event5', 'Event1'}",True,,55
AIP,MonkeyA_Session02,Context2,Condition1,Object2,6,"['Event1', 'Event2', 'Event3', 'Event4', 'Event5', 'Event6']","{'Event6', 'Event2', 'Event4', 'Event3', 'Event5', 'Event1'}",True,,55
AIP,MonkeyA_Session02,Context2,Condition1,Object3,6,"['Event1', 'Event2', 'Event3', 'Event4', 'Event5', 'Event6']","{'Event6', 'Event2', 'Event4', 'Event3', 'Event5', 'Event1'}",True,,55
AIP,MonkeyA_Session02,Context2,Condition2,Object1,4,"['Event1', 'Event2', 'Event3', 'Event6']","{'Event6', 'Event2', 'Event3', 'Event1'}",True,,55
AIP,MonkeyA_Session02,Context2,Condition2,Object2,4,"['Event1', 'Event2', 'Event3', 'Event6']","{'Event6', 'Event2', 'Event3', 'Event1'}",True,,55
AIP,MonkeyA_Session02,Context2,Condition2,Object3,4,"['Event1', 'Event2', 'Event3', 'Event6']","{'Event6', 'Event2', 'Event3', 'Event1'}",True,,55
AIP,MonkeyB_Session01,Context1,Condition1,Object1,6,"['Event1', 'Event2', 'Event3', 'Event4', 'Event5', 'Event6']","{'Event6', 'Event2', 'Event4', 'Event3', 'Event5', 'Event1'}",True,,11
AIP,MonkeyB_Session01,Context1,Condition1,Object2,6,"['Event1', 'Event2', 'Event3', 'Event4', 'Event5', 'Event6']","{'Event6', 'Event2', 'Event4', 'Event3', 'Event5', 'Event1'}",True,,11
AIP,MonkeyB_Session01,Context1,Condition1,Object3,6,"['Event1', 'Event2', 'Event3', 'Event4', 'Event5', 'Event6']","{'Event6', 'Event2', 'Event4', 'Event3', 'Event5', 'Event1'}",True,,11
AIP,MonkeyB_Session01,Context2,Condition1,Object1,6,"['Event1', 'Event2', 'Event3', 'Event4', 'Event5', 'Event6']","{'Event6', 'Event2', 'Event4', 'Event3', 'Event5', 'Event1'}",True,,11
AIP,MonkeyB_Session01,Context2,Condition1,Object2,6,"['Event1', 'Event2', 'Event3', 'Event4', 'Event5', 'Event6']","{'Event6', 'Event2', 'Event4', 'Event3', 'Event5', 'Event1'}",True,,11
