area,session,n_neurons
AIP,MonkeyA_Session01,13
AIP,MonkeyA_Session02,55
AIP,MonkeyB_Session01,11
AIP,MonkeyB_Session02,7
F5,MonkeyB_Session01,5
F5,MonkeyB_Session02,4
F5,MonkeyB_Session03,4
F5,MonkeyB_Session04,9
F5,MonkeyB_Session05,1
F5,MonkeyB_Session06,6
F5,MonkeyB_Session07,4
F5,MonkeyB_Session08,4
F5,MonkeyB_Session09,2
F5,MonkeyB_Session10,7
F5,MonkeyB_Session11,4
F5,MonkeyB_Session12,4
F5,MonkeyC_Session01,2
F5,MonkeyC_Session02,4
F5,MonkeyC_Session03,2
F5,MonkeyC_Session04,2
F5,MonkeyC_Session05,2
F5,MonkeyC_Session06,9
F5,MonkeyC_Session07,2
F5,MonkeyC_Session08,6
F5,MonkeyC_Session09,5
F5,MonkeyC_Session10,6
F5,MonkeyC_Session11,4
F5,MonkeyC_Session12,6
F5,MonkeyC_Session13,2
F6,MonkeyB_Session01,41
F6,MonkeyB_Session02,12
F6,MonkeyB_Session03,8
F6,MonkeyB_Session04,12
F6,MonkeyB_Session05,9
F6,MonkeyB_Session06,6
F6,MonkeyB_Session07,1
F6,MonkeyB_Session08,2
F6,MonkeyB_Session09,4
F6,MonkeyB_Session10,34
F6,MonkeyC_Session01,4
F6,MonkeyC_Session02,8
F6,MonkeyC_Session03,2
F6,MonkeyC_Session04,2
F6,MonkeyC_Session05,3
F6,MonkeyC_Session06,3
F6,MonkeyC_Session07,1
F6,MonkeyC_Session08,9
F6,MonkeyC_Session09,2
