area,session,event,train_object,test_object,acc,auc,evaluation,is_cross_object
AIP,MonkeyA_Session01,Event1,Object1,Object1,0.4380000000000001,0.3516666666666666,within_object_cv,False
AIP,MonkeyA_Session01,Event1,Object1,Object2,0.4583333333333333,0.3611111111111111,cross_object_holdout,True
AIP,MonkeyA_Session01,Event1,Object1,Object3,0.6666666666666666,0.5833333333333334,cross_object_holdout,True
AIP,MonkeyA_Session01,Event1,Object2,Object1,0.4583333333333333,0.3819444444444444,cross_object_holdout,True
AIP,MonkeyA_Session01,Event1,Object2,Object2,0.608,0.6316666666666668,within_object_cv,False
AIP,MonkeyA_Session01,Event1,Object2,Object3,0.5,0.5763888888888888,cross_object_holdout,True
AIP,MonkeyA_Session01,Event1,Object3,Object1,0.5,0.4583333333333333,cross_object_holdout,True
AIP,MonkeyA_Session01,Event1,Object3,Object2,0.6666666666666666,0.6736111111111112,cross_object_holdout,True
AIP,MonkeyA_Session01,Event1,Object3,Object3,0.561,0.5816666666666667,within_object_cv,False
AIP,MonkeyA_Session01,Event3,Object1,Object1,0.405,0.325,within_object_cv,False
AIP,MonkeyA_Session01,Event3,Object1,Object2,0.4166666666666667,0.4791666666666667,cross_object_holdout,True
AIP,MonkeyA_Session01,Event3,Object1,Object3,0.5416666666666666,0.5069444444444444,cross_object_holdout,True
AIP,MonkeyA_Session01,Event3,Object2,Object1,0.5416666666666666,0.5972222222222222,cross_object_holdout,True
AIP,MonkeyA_Session01,Event3,Object2,Object2,0.7659999999999999,0.8833333333333334,within_object_cv,False
AIP,MonkeyA_Session01,Event3,Object2,Object3,0.5416666666666666,0.4722222222222222,cross_object_holdout,True
AIP,MonkeyA_Session01,Event3,Object3,Object1,0.5833333333333334,0.75,cross_object_holdout,True
AIP,MonkeyA_Session01,Event3,Object3,Object2,0.5,0.5625,cross_object_holdout,True
AIP,MonkeyA_Session01,Event3,Object3,Object3,0.38599999999999995,0.36166666666666664,within_object_cv,False
AIP,MonkeyA_Session02,Event1,Object1,Object1,0.369,0.32833333333333337,within_object_cv,False
AIP,MonkeyA_Session02,Event1,Object1,Object2,0.4583333333333333,0.5416666666666666,cross_object_holdout,True
AIP,MonkeyA_Session02,Event1,Object1,Object3,0.4583333333333333,0.45138888888888895,cross_object_holdout,True
AIP,MonkeyA_Session02,Event1,Object2,Object1,0.5833333333333334,0.6111111111111112,cross_object_holdout,True
AIP,MonkeyA_Session02,Event1,Object2,Object2,0.606,0.6633333333333333,within_object_cv,False
AIP,MonkeyA_Session02,Event1,Object2,Object3,0.4583333333333333,0.47916666666666663,cross_object_holdout,True
AIP,MonkeyA_Session02,Event1,Object3,Object1,0.4166666666666667,0.4791666666666667,cross_object_holdout,True
AIP,MonkeyA_Session02,Event1,Object3,Object2,0.625,0.6805555555555556,cross_object_holdout,True
AIP,MonkeyA_Session02,Event1,Object3,Object3,0.389,0.325,within_object_cv,False
AIP,MonkeyA_Session02,Event3,Object1,Object1,0.778,0.8683333333333333,within_object_cv,False
AIP,MonkeyA_Session02,Event3,Object1,Object2,0.875,0.9375,cross_object_holdout,True
AIP,MonkeyA_Session02,Event3,Object1,Object3,0.6666666666666666,0.7638888888888888,cross_object_holdout,True
AIP,MonkeyA_Session02,Event3,Object2,Object1,0.8333333333333334,0.9027777777777778,cross_object_holdout,True
AIP,MonkeyA_Session02,Event3,Object2,Object2,0.747,0.8649999999999999,within_object_cv,False
AIP,MonkeyA_Session02,Event3,Object2,Object3,0.6666666666666666,0.7291666666666667,cross_object_holdout,True
AIP,MonkeyA_Session02,Event3,Object3,Object1,0.875,0.9097222222222222,cross_object_holdout,True
AIP,MonkeyA_Session02,Event3,Object3,Object2,0.75,0.8680555555555556,cross_object_holdout,True
AIP,MonkeyA_Session02,Event3,Object3,Object3,0.652,0.7333333333333334,within_object_cv,False
AIP,MonkeyB_Session01,Event1,Object1,Object1,0.389,0.43166666666666664,within_object_cv,False
AIP,MonkeyB_Session01,Event1,Object1,Object2,0.4583333333333333,0.375,cross_object_holdout,True
AIP,MonkeyB_Session01,Event1,Object1,Object3,0.25,0.3819444444444444,cross_object_holdout,True
AIP,MonkeyB_Session01,Event1,Object2,Object1,0.5416666666666666,0.5416666666666667,cross_object_holdout,True
AIP,MonkeyB_Session01,Event1,Object2,Object2,0.36699999999999994,0.3066666666666667,within_object_cv,False
AIP,MonkeyB_Session01,Event1,Object2,Object3,0.5833333333333334,0.47222222222222227,cross_object_holdout,True
AIP,MonkeyB_Session01,Event1,Object3,Object1,0.4166666666666667,0.4791666666666667,cross_object_holdout,True
AIP,MonkeyB_Session01,Event1,Object3,Object2,0.625,0.6180555555555557,cross_object_holdout,True
AIP,MonkeyB_Session01,Event1,Object3,Object3,0.562,0.5716666666666668,within_object_cv,False
AIP,MonkeyB_Session01,Event3,Object1,Object1,0.5479999999999999,0.575,within_object_cv,False
AIP,MonkeyB_Session01,Event3,Object1,Object2,0.3333333333333333,0.24305555555555555,cross_object_holdout,True
AIP,MonkeyB_Session01,Event3,Object1,Object3,0.4583333333333333,0.4444444444444444,cross_object_holdout,True
AIP,MonkeyB_Session01,Event3,Object2,Object1,0.5,0.39583333333333337,cross_object_holdout,True
AIP,MonkeyB_Session01,Event3,Object2,Object2,0.72,0.8183333333333335,within_object_cv,False
AIP,MonkeyB_Session01,Event3,Object2,Object3,0.625,0.7222222222222222,cross_object_holdout,True
AIP,MonkeyB_Session01,Event3,Object3,Object1,0.625,0.7013888888888888,cross_object_holdout,True
AIP,MonkeyB_Session01,Event3,Object3,Object2,0.7083333333333334,0.7777777777777778,cross_object_holdout,True
AIP,MonkeyB_Session01,Event3,Object3,Object3,0.652,0.7016666666666665,within_object_cv,False
AIP,MonkeyB_Session02,Event1,Object1,Object1,0.56,0.53,within_object_cv,False
AIP,MonkeyB_Session02,Event1,Object1,Object2,0.5416666666666666,0.48611111111111116,cross_object_holdout,True
AIP,MonkeyB_Session02,Event1,Object1,Object3,0.5,0.5138888888888888,cross_object_holdout,True
AIP,MonkeyB_Session02,Event1,Object2,Object1,0.4166666666666667,0.375,cross_object_holdout,True
AIP,MonkeyB_Session02,Event1,Object2,Object2,0.57,0.5333333333333333,within_object_cv,False
AIP,MonkeyB_Session02,Event1,Object2,Object3,0.4583333333333333,0.5069444444444444,cross_object_holdout,True
AIP,MonkeyB_Session02,Event1,Object3,Object1,0.3333333333333333,0.3611111111111111,cross_object_holdout,True
AIP,MonkeyB_Session02,Event1,Object3,Object2,0.5416666666666666,0.6388888888888888,cross_object_holdout,True
AIP,MonkeyB_Session02,Event1,Object3,Object3,0.6080000000000001,0.6733333333333333,within_object_cv,False
AIP,MonkeyB_Session02,Event3,Object1,Object1,0.6749999999999998,0.7383333333333333,within_object_cv,False
AIP,MonkeyB_Session02,Event3,Object1,Object2,0.5416666666666666,0.5208333333333333,cross_object_holdout,True
AIP,MonkeyB_Session02,Event3,Object1,Object3,0.6666666666666666,0.673611111111111,cross_object_holdout,True
AIP,MonkeyB_Session02,Event3,Object2,Object1,0.5416666666666666,0.6597222222222222,cross_object_holdout,True
AIP,MonkeyB_Session02,Event3,Object2,Object2,0.667,0.715,within_object_cv,False
AIP,MonkeyB_Session02,Event3,Object2,Object3,0.5,0.47916666666666663,cross_object_holdout,True
AIP,MonkeyB_Session02,Event3,Object3,Object1,0.5416666666666666,0.5833333333333334,cross_object_holdout,True
AIP,MonkeyB_Session02,Event3,Object3,Object2,0.7083333333333334,0.6666666666666667,cross_object_holdout,True
AIP,MonkeyB_Session02,Event3,Object3,Object3,0.706,0.7799999999999998,within_object_cv,False
F5,MonkeyB_Session01,Event1,Object1,Object1,0.44999999999999996,0.5000000000000001,within_object_cv,False
