metric,group,value,n,source
n_analysis_units,overall,204.0,204,go-nogo/reworked_results/session_object_event_results.csv
mean_dec_obs_go_nogo_auc_full,overall,0.604657,204,go-nogo/reworked_results/session_object_event_results.csv
mean_dec_obs_go_nogo_auc_pre,overall,0.534685,204,go-nogo/reworked_results/session_object_event_results.csv
mean_dec_obs_go_nogo_auc_post,overall,0.64467,204,go-nogo/reworked_results/session_object_event_results.csv
mean_dec_exe_obs_auc_full,overall,0.945522,204,go-nogo/reworked_results/session_object_event_results.csv
mean_auc_pre,event=Event1,0.512584,102,go-nogo/reworked_results/session_object_event_results.csv
mean_auc_post,event=Event1,0.538377,102,go-nogo/reworked_results/session_object_event_results.csv
mean_auc_pre,event=Event3,0.556786,102,go-nogo/reworked_results/session_object_event_results.csv
mean_auc_post,event=Event3,0.750964,102,go-nogo/reworked_results/session_object_event_results.csv
mean_auc_pre,"area=AIP,event=Event1",0.533194,12,go-nogo/reworked_results/session_object_event_results.csv
mean_auc_post,"area=AIP,event=Event1",0.474722,12,go-nogo/reworked_results/session_object_event_results.csv
mean_auc_pre,"area=AIP,event=Event3",0.545972,12,go-nogo/reworked_results/session_object_event_results.csv
mean_auc_post,"area=AIP,event=Event3",0.73125,12,go-nogo/reworked_results/session_object_event_results.csv
mean_auc_pre,"area=F5,event=Event1",0.515185,51,go-nogo/reworked_results/session_object_event_results.csv
mean_auc_post,"area=F5,event=Event1",0.516688,51,go-nogo/reworked_results/session_object_event_results.csv
mean_auc_pre,"area=F5,event=Event3",0.55512,51,go-nogo/reworked_results/session_object_event_results.csv
mean_auc_post,"area=F5,event=Event3",0.769641,51,go-nogo/reworked_results/session_object_event_results.csv
mean_auc_pre,"area=F6,event=Event1",0.502842,39,go-nogo/reworked_results/session_object_event_results.csv
mean_auc_post,"area=F6,event=Event1",0.586325,39,go-nogo/reworked_results/session_object_event_results.csv
mean_auc_pre,"area=F6,event=Event3",0.562293,39,go-nogo/reworked_results/session_object_event_results.csv
mean_auc_post,"area=F6,event=Event3",0.732607,39,go-nogo/reworked_results/session_object_event_results.csv
n_units,area=AIP,24.0,24,go-nogo/reworked_results/session_object_event_results.csv
n_units,area=F5,102.0,102,go-nogo/reworked_results/session_object_event_results.csv
n_units,area=F6,78.0,78,go-nogo/reworked_results/session_object_event_results.csv
n_perm_tests_with_p,overall,204.0,204,go-nogo/reworked_results/session_object_event_results.csv
n_perm_sig_p<0.05,overall,47.0,204,go-nogo/reworked_results/session_object_event_results.csv
frac_perm_sig_p<0.05,overall,0.230392,204,go-nogo/reworked_results/session_object_event_results.csv
n_perm_sig_p<0.01,overall,29.0,204,go-nogo/reworked_results/session_object_event_results.csv
frac_perm_sig_p<0.01,overall,0.142157,204,go-nogo/reworked_results/session_object_event_results.csv
n_perm_sig_p<0.05,area=AIP,6.0,24,go-nogo/reworked_results/session_object_event_results.csv
n_perm_sig_p<0.05,area=F5,26.0,102,go-nogo/reworked_results/session_object_event_results.csv
n_perm_sig_p<0.05,area=F6,15.0,78,go-nogo/reworked_results/session_object_event_results.csv
time_resolved_peak_auc,"area=AIP,event=Event1",0.563958,552,go-nogo/reworked_results/time_resolved_results.csv
time_resolved_peak_time_s,"area=AIP,event=Event1",0.15,,go-nogo/reworked_results/time_resolved_results.csv
time_resolved_peak_auc,"area=AIP,event=Event3",0.794514,792,go-nogo/reworked_results/time_resolved_results.csv
time_resolved_peak_time_s,"area=AIP,event=Event3",0.55,,go-nogo/reworked_results/time_resolved_results.csv
time_resolved_peak_auc,"area=F5,event=Event1",0.55134,2346,go-nogo/reworked_results/time_resolved_results.csv
time_resolved_peak_time_s,"area=F5,event=Event1",0.69,,go-nogo/reworked_results/time_resolved_results.csv
time_resolved_peak_auc,"area=F5,event=Event3",0.763257,3366,go-nogo/reworked_results/time_resolved_results.csv
time_resolved_peak_time_s,"area=F5,event=Event3",0.55,,go-nogo/reworked_results/time_resolved_results.csv
time_resolved_peak_auc,"area=F6,event=Event1",0.574573,1794,go-nogo/reworked_results/time_resolved_results.csv
time_resolved_peak_time_s,"area=F6,event=Event1",0.51,,go-nogo/reworked_results/time_resolved_results.csv
time_resolved_peak_auc,"area=F6,event=Event3",0.718027,2574,go-nogo/reworked_results/time_resolved_results.csv
time_resolved_peak_time_s,"area=F6,event=Event3",0.51,,go-nogo/reworked_results/time_resolved_results.csv
divergence_onset_ms_median,"area=AIP,event=Event1",,12,go-nogo/reworked_results/final_analysis/07_divergence_onset/divergence_onset_summary.csv
divergence_onset_ms_mean,"area=AIP,event=Event1",,12,go-nogo/reworked_results/final_analysis/07_divergence_onset/divergence_onset_summary.csv
divergence_n_onset_found,"area=AIP,event=Event1",0.0,12,go-nogo/reworked_results/final_analysis/07_divergence_onset/divergence_onset_summary.csv
divergence_onset_ms_median,"area=AIP,event=Event3",450.0,12,go-nogo/reworked_results/final_analysis/07_divergence_onset/divergence_onset_summary.csv
divergence_onset_ms_mean,"area=AIP,event=Event3",450.0,12,go-nogo/reworked_results/final_analysis/07_divergence_onset/divergence_onset_summary.csv
divergence_n_onset_found,"area=AIP,event=Event3",2.0,12,go-nogo/reworked_results/final_analysis/07_divergence_onset/divergence_onset_summary.csv
divergence_onset_ms_median,"area=F5,event=Event1",10.0,51,go-nogo/reworked_results/final_analysis/07_divergence_onset/divergence_onset_summary.csv
divergence_onset_ms_mean,"area=F5,event=Event1",10.0,51,go-nogo/reworked_results/final_analysis/07_divergence_onset/divergence_onset_summary.csv
divergence_n_onset_found,"area=F5,event=Event1",1.0,51,go-nogo/reworked_results/final_analysis/07_divergence_onset/divergence_onset_summary.csv
divergence_onset_ms_median,"area=F5,event=Event3",340.0,51,go-nogo/reworked_results/final_analysis/07_divergence_onset/divergence_onset_summary.csv
