area,session,object,event,interval_start,interval_stop,n_neurons,n_bins,n_trials_exe_go,n_trials_obs_go,n_trials_obs_nogo,n_pcs_raw,n_pcs_centered,dist_exe_obs_mean,dist_go_nogo_mean,dist_exe_nogo_mean,dist_go_nogo_centered_mean,vel_cos_exe_obs_mean,vel_cos_go_nogo_mean,angle_exe_obs_min,angle_go_nogo_min,angle_exe_nogo_min,dec_obs_go_nogo_acc_full,dec_obs_go_nogo_auc_full,dec_obs_go_nogo_acc_pre,dec_obs_go_nogo_auc_pre,dec_obs_go_nogo_acc_post,dec_obs_go_nogo_auc_post,dec_exe_obs_acc_full,dec_exe_obs_auc_full,perm_obs_go_nogo_auc,perm_obs_go_nogo_auc_p,perm_obs_go_nogo_acc,perm_obs_go_nogo_acc_p,boot_obs_go_nogo_auc_mean,boot_obs_go_nogo_auc_ci95_low,boot_obs_go_nogo_auc_ci95_high,boot_obs_go_nogo_acc_mean,boot_obs_go_nogo_acc_ci95_low,boot_obs_go_nogo_acc_ci95_high
AIP,MonkeyA_Session01,Object1,Event1,-0.2,0.8,13,50,12,12,12,8,8,1.2436742832602465,1.0121699037735064,1.2731794767993174,1.035030678741631,0.04353180237930495,0.1414702390362972,0.32010749449368103,0.28085611982153674,0.17920655511382766,0.4380000000000001,0.3516666666666666,0.41,0.40333333333333327,0.508,0.47833333333333333,0.93,0.9833333333333333,0.3516666666666666,0.8272425249169435,0.4380000000000001,0.7043189368770764,0.7005888888888888,0.41475,0.9500833333333332,0.68423,0.477475,0.8821499999999999
AIP,MonkeyA_Session01,Object1,Event3,-0.8,0.6,13,70,12,12,12,8,8,1.7835422457870909,0.9378524471387019,1.6860746079916407,0.952057364602545,0.032401324998893935,0.07695594864575642,0.3415016541154379,0.20135522244118545,0.4054102017211805,0.405,0.325,0.496,0.52,0.38400000000000006,0.2866666666666666,1.0,1.0,0.325,0.8770764119601329,0.405,0.7940199335548173,0.7592,0.4824583333333333,0.9750833333333332,0.7252966666666667,0.5247,0.9001499999999998
AIP,MonkeyA_Session01,Object2,Event1,-0.2,0.8,13,50,12,12,12,8,8,1.346669806999009,1.1094029386403037,1.2536591224820632,1.1297170404714612,0.067380273485759,-0.0405609689710707,0.13518567985659055,0.2645336274999534,0.359141672191363,0.608,0.6316666666666668,0.623,0.615,0.601,0.6183333333333333,0.879,0.9816666666666666,0.6316666666666668,0.1760797342192691,0.608,0.11960132890365449,0.8126833333333333,0.5937083333333334,0.9783333333333333,0.77136,0.5819,0.9330499999999999
AIP,MonkeyA_Session01,Object2,Event3,-0.8,0.6,13,70,12,12,12,8,8,1.9145273275340022,0.9449784551603928,1.8529044164071438,0.9554964998354734,0.0027930745239123297,0.015106159462008207,0.32040266966847786,0.16037276232376693,0.38094949515780224,0.7659999999999999,0.8833333333333334,0.7170000000000001,0.8483333333333333,0.56,0.5933333333333334,1.0,1.0,0.8833333333333334,0.006644518272425249,0.7659999999999999,0.006644518272425249,0.9358111111111111,0.8466666666666666,0.9966666666666667,0.8574233333333332,0.75895,0.966
AIP,MonkeyA_Session01,Object3,Event1,-0.2,0.8,13,50,12,12,12,8,8,1.3511486395504417,1.1358171387332616,1.2819482320731916,1.16173101394105,-0.0296247999395199,-0.018910683840955348,0.3350515567437191,0.17094770529545633,0.27853048524936763,0.561,0.5816666666666667,0.37099999999999994,0.4033333333333334,0.5770000000000001,0.6366666666666666,0.845,0.93,0.5816666666666667,0.2823920265780731,0.561,0.22591362126245848,0.7589777777777778,0.47379166666666667,0.9744583333333331,0.72231,0.48647500000000005,0.9149999999999999
AIP,MonkeyA_Session01,Object3,Event3,-0.8,0.6,13,70,12,12,12,8,8,1.763465440076813,0.991799535871814,1.7675059015167447,1.025879406087856,0.022509644620527743,-0.038004800273588435,0.2751589403996713,0.21352725302569706,0.3117123209643797,0.38599999999999995,0.36166666666666664,0.36999999999999994,0.33333333333333326,0.38800000000000007,0.33666666666666667,1.0,1.0,0.36166666666666664,0.8438538205980066,0.38599999999999995,0.8571428571428571,0.7086277777777777,0.44495833333333334,0.91675,0.6739466666666667,0.44194999999999995,0.8567249999999997
AIP,MonkeyA_Session02,Object1,Event1,-0.2,0.8,55,50,12,12,12,8,8,1.9176507560673672,1.009175866040622,1.871049231872825,1.0373877816835522,-0.050026809569666104,0.054604038713481795,0.7225959185279464,0.5105393882114638,0.7554736442874208,0.369,0.32833333333333337,0.5509999999999999,0.5933333333333334,0.37699999999999995,0.3283333333333333,1.0,1.0,0.32833333333333337,0.8737541528239202,0.369,0.8803986710963455,0.7279888888888889,0.45825000000000005,0.93175,0.6663866666666667,0.45164999999999994,0.841525
AIP,MonkeyA_Session02,Object1,Event3,-0.8,0.6,55,70,12,12,12,8,8,2.27783610295967,1.0010604232145504,2.2418702524099,1.0050373044605267,-0.012893052697011865,-0.01755545987393075,0.8818912706248249,0.6540944736009826,0.8564202399250234,0.778,0.8683333333333333,0.412,0.40333333333333327,0.7929999999999999,0.8933333333333333,1.0,1.0,0.8683333333333333,0.0033222591362126247,0.778,0.0033222591362126247,0.94605,0.8357916666666668,1.0,0.8670666666666667,0.7364750000000001,0.960525
AIP,MonkeyA_Session02,Object2,Event1,-0.2,0.8,55,50,12,12,12,8,8,1.8693266409486984,1.0466412134205922,1.974826187962037,1.0389130305821452,0.11986847193530695,0.0741405976367782,0.6861477359713287,0.5255294377606307,0.7262078680055719,0.606,0.6633333333333333,0.562,0.5716666666666667,0.5940000000000001,0.6683333333333334,1.0,1.0,0.6633333333333333,0.12292358803986711,0.606,0.12624584717607973,0.843188888888889,0.6357083333333333,0.9900000000000001,0.7619366666666666,0.581325,0.9270999999999999
AIP,MonkeyA_Session02,Object2,Event3,-0.8,0.6,55,70,12,12,12,8,8,2.1206285850911053,1.0664308831826932,2.1678146406977388,1.0787781477044571,-0.012945736514677333,-0.006561609942026108,0.8020274455240408,0.9916371554584151,1.0483453747812874,0.747,0.8649999999999999,0.428,0.36833333333333335,0.904,0.9733333333333334,1.0,1.0,0.8649999999999999,0.0033222591362126247,0.747,0.0033222591362126247,0.9574833333333334,0.87325,1.0,0.8788366666666665,0.7694249999999999,0.969525
