area,session,object,event,start_bin,stop_bin,center_time_s,acc,auc,n_pcs_used
AIP,MonkeyA_Session01,Object1,Event1,0,5,-0.15000000000000002,0.374,0.38,8
AIP,MonkeyA_Session01,Object1,Event1,1,6,-0.13,0.31,0.2916666666666667,8
AIP,MonkeyA_Session01,Object1,Event1,2,7,-0.11000000000000001,0.39899999999999997,0.38499999999999995,8
AIP,MonkeyA_Session01,Object1,Event1,3,8,-0.09000000000000001,0.37200000000000005,0.3,8
AIP,MonkeyA_Session01,Object1,Event1,4,9,-0.07,0.26799999999999996,0.225,8
AIP,MonkeyA_Session01,Object1,Event1,5,10,-0.05000000000000002,0.29,0.17666666666666667,8
AIP,MonkeyA_Session01,Object1,Event1,6,11,-0.03,0.256,0.15166666666666667,8
AIP,MonkeyA_Session01,Object1,Event1,7,12,-0.010000000000000009,0.313,0.24333333333333335,8
AIP,MonkeyA_Session01,Object1,Event1,8,13,0.009999999999999981,0.40900000000000003,0.4366666666666667,8
AIP,MonkeyA_Session01,Object1,Event1,9,14,0.03,0.504,0.5483333333333333,8
AIP,MonkeyA_Session01,Object1,Event1,10,15,0.04999999999999999,0.39599999999999996,0.3466666666666666,8
AIP,MonkeyA_Session01,Object1,Event1,11,16,0.07,0.36200000000000004,0.37666666666666665,8
AIP,MonkeyA_Session01,Object1,Event1,12,17,0.08999999999999997,0.43300000000000005,0.36,8
AIP,MonkeyA_Session01,Object1,Event1,13,18,0.10999999999999999,0.361,0.33666666666666667,8
AIP,MonkeyA_Session01,Object1,Event1,14,19,0.13,0.6350000000000001,0.6566666666666667,8
AIP,MonkeyA_Session01,Object1,Event1,15,20,0.15000000000000002,0.6580000000000001,0.7566666666666667,8
AIP,MonkeyA_Session01,Object1,Event1,16,21,0.16999999999999998,0.7529999999999998,0.825,8
AIP,MonkeyA_Session01,Object1,Event1,17,22,0.19,0.743,0.8616666666666667,8
AIP,MonkeyA_Session01,Object1,Event1,18,23,0.21000000000000002,0.528,0.5416666666666666,8
AIP,MonkeyA_Session01,Object1,Event1,19,24,0.22999999999999998,0.574,0.6100000000000001,8
AIP,MonkeyA_Session01,Object1,Event1,20,25,0.25,0.365,0.335,8
AIP,MonkeyA_Session01,Object1,Event1,21,26,0.27,0.409,0.3949999999999999,8
AIP,MonkeyA_Session01,Object1,Event1,22,27,0.29,0.46,0.41333333333333333,8
AIP,MonkeyA_Session01,Object1,Event1,23,28,0.31,0.523,0.5033333333333334,8
AIP,MonkeyA_Session01,Object1,Event1,24,29,0.33,0.3559999999999999,0.32,8
AIP,MonkeyA_Session01,Object1,Event1,25,30,0.35000000000000003,0.35,0.3266666666666667,8
AIP,MonkeyA_Session01,Object1,Event1,26,31,0.37000000000000005,0.40299999999999997,0.33333333333333337,8
AIP,MonkeyA_Session01,Object1,Event1,27,32,0.38999999999999996,0.528,0.5766666666666667,8
AIP,MonkeyA_Session01,Object1,Event1,28,33,0.41,0.584,0.7133333333333334,8
AIP,MonkeyA_Session01,Object1,Event1,29,34,0.43,0.309,0.325,8
AIP,MonkeyA_Session01,Object1,Event1,30,35,0.45,0.44000000000000006,0.5166666666666666,8
AIP,MonkeyA_Session01,Object1,Event1,31,36,0.47000000000000003,0.4690000000000001,0.4150000000000001,8
AIP,MonkeyA_Session01,Object1,Event1,32,37,0.49000000000000005,0.37400000000000005,0.39,8
AIP,MonkeyA_Session01,Object1,Event1,33,38,0.51,0.542,0.5116666666666667,8
AIP,MonkeyA_Session01,Object1,Event1,34,39,0.53,0.628,0.715,8
AIP,MonkeyA_Session01,Object1,Event1,35,40,0.55,0.57,0.5533333333333332,8
AIP,MonkeyA_Session01,Object1,Event1,36,41,0.5700000000000001,0.5780000000000001,0.6533333333333334,8
AIP,MonkeyA_Session01,Object1,Event1,37,42,0.5900000000000001,0.621,0.6433333333333334,8
AIP,MonkeyA_Session01,Object1,Event1,38,43,0.6100000000000001,0.298,0.24166666666666667,8
AIP,MonkeyA_Session01,Object1,Event1,39,44,0.6300000000000001,0.4109999999999999,0.35,8
AIP,MonkeyA_Session01,Object1,Event1,40,45,0.6499999999999999,0.36700000000000005,0.30333333333333334,8
AIP,MonkeyA_Session01,Object1,Event1,41,46,0.6699999999999999,0.314,0.25416666666666665,8
AIP,MonkeyA_Session01,Object1,Event1,42,47,0.69,0.36900000000000005,0.3916666666666667,8
AIP,MonkeyA_Session01,Object1,Event1,43,48,0.71,0.3560000000000001,0.2733333333333333,8
AIP,MonkeyA_Session01,Object1,Event1,44,49,0.73,0.494,0.485,8
AIP,MonkeyA_Session01,Object1,Event1,45,50,0.75,0.302,0.25666666666666665,8
AIP,MonkeyA_Session01,Object1,Event3,0,5,-0.75,0.47700000000000004,0.36666666666666664,8
AIP,MonkeyA_Session01,Object1,Event3,1,6,-0.73,0.48200000000000004,0.45166666666666666,8
AIP,MonkeyA_Session01,Object1,Event3,2,7,-0.7100000000000001,0.531,0.5166666666666667,8
AIP,MonkeyA_Session01,Object1,Event3,3,8,-0.6900000000000001,0.523,0.5116666666666666,8
AIP,MonkeyA_Session01,Object1,Event3,4,9,-0.67,0.475,0.4683333333333334,8
AIP,MonkeyA_Session01,Object1,Event3,5,10,-0.65,0.466,0.455,8
AIP,MonkeyA_Session01,Object1,Event3,6,11,-0.63,0.477,0.5116666666666666,8
AIP,MonkeyA_Session01,Object1,Event3,7,12,-0.6100000000000001,0.6010000000000001,0.5716666666666667,8
AIP,MonkeyA_Session01,Object1,Event3,8,13,-0.5900000000000001,0.6779999999999999,0.7233333333333334,8
AIP,MonkeyA_Session01,Object1,Event3,9,14,-0.5700000000000001,0.442,0.4083333333333334,8
AIP,MonkeyA_Session01,Object1,Event3,10,15,-0.55,0.428,0.43333333333333335,8
AIP,MonkeyA_Session01,Object1,Event3,11,16,-0.53,0.632,0.685,8
AIP,MonkeyA_Session01,Object1,Event3,12,17,-0.51,0.6260000000000001,0.655,8
AIP,MonkeyA_Session01,Object1,Event3,13,18,-0.49000000000000005,0.601,0.625,8
AIP,MonkeyA_Session01,Object1,Event3,14,19,-0.47000000000000003,0.582,0.65,8
AIP,MonkeyA_Session01,Object1,Event3,15,20,-0.45,0.42900000000000005,0.4691666666666666,8
AIP,MonkeyA_Session01,Object1,Event3,16,21,-0.43000000000000005,0.41700000000000004,0.37500000000000006,8
AIP,MonkeyA_Session01,Object1,Event3,17,22,-0.41000000000000003,0.527,0.5266666666666666,8
AIP,MonkeyA_Session01,Object1,Event3,18,23,-0.39,0.425,0.44333333333333336,8
AIP,MonkeyA_Session01,Object1,Event3,19,24,-0.37000000000000005,0.44,0.47666666666666674,8
AIP,MonkeyA_Session01,Object1,Event3,20,25,-0.35000000000000003,0.5860000000000001,0.6366666666666667,8
AIP,MonkeyA_Session01,Object1,Event3,21,26,-0.33,0.513,0.525,8
AIP,MonkeyA_Session01,Object1,Event3,22,27,-0.31000000000000005,0.6759999999999999,0.7216666666666667,8
AIP,MonkeyA_Session01,Object1,Event3,23,28,-0.29000000000000004,0.645,0.6816666666666668,8
AIP,MonkeyA_Session01,Object1,Event3,24,29,-0.27,0.442,0.41833333333333333,8
AIP,MonkeyA_Session01,Object1,Event3,25,30,-0.25,0.41,0.37666666666666665,8
AIP,MonkeyA_Session01,Object1,Event3,26,31,-0.22999999999999998,0.555,0.5516666666666666,8
AIP,MonkeyA_Session01,Object1,Event3,27,32,-0.21000000000000008,0.48300000000000004,0.4708333333333334,8
AIP,MonkeyA_Session01,Object1,Event3,28,33,-0.19000000000000006,0.449,0.44166666666666665,8
AIP,MonkeyA_Session01,Object1,Event3,29,34,-0.17000000000000004,0.5,0.535,8
AIP,MonkeyA_Session01,Object1,Event3,30,35,-0.15000000000000002,0.49199999999999994,0.46,8
AIP,MonkeyA_Session01,Object1,Event3,31,36,-0.13,0.364,0.28500000000000003,8
AIP,MonkeyA_Session01,Object1,Event3,32,37,-0.10999999999999999,0.35,0.24166666666666667,8
AIP,MonkeyA_Session01,Object1,Event3,33,38,-0.09000000000000008,0.478,0.5216666666666666,8
AIP,MonkeyA_Session01,Object1,Event3,34,39,-0.07000000000000006,0.518,0.5016666666666666,8
AIP,MonkeyA_Session01,Object1,Event3,35,40,-0.050000000000000044,0.5740000000000001,0.6766666666666667,8
AIP,MonkeyA_Session01,Object1,Event3,36,41,-0.030000000000000027,0.512,0.5166666666666667,8
AIP,MonkeyA_Session01,Object1,Event3,37,42,-0.010000000000000009,0.39599999999999996,0.42166666666666663,8
AIP,MonkeyA_Session01,Object1,Event3,38,43,0.010000000000000009,0.41200000000000003,0.375,8
AIP,MonkeyA_Session01,Object1,Event3,39,44,0.030000000000000027,0.41600000000000004,0.3766666666666667,8
AIP,MonkeyA_Session01,Object1,Event3,40,45,0.04999999999999993,0.477,0.43,8
AIP,MonkeyA_Session01,Object1,Event3,41,46,0.06999999999999995,0.4960000000000001,0.4716666666666666,8
AIP,MonkeyA_Session01,Object1,Event3,42,47,0.08999999999999997,0.33899999999999997,0.285,8
AIP,MonkeyA_Session01,Object1,Event3,43,48,0.10999999999999999,0.585,0.5366666666666666,8
AIP,MonkeyA_Session01,Object1,Event3,44,49,0.13,0.40199999999999997,0.3366666666666667,8
AIP,MonkeyA_Session01,Object1,Event3,45,50,0.15000000000000002,0.439,0.4083333333333334,8
AIP,MonkeyA_Session01,Object1,Event3,46,51,0.16999999999999993,0.502,0.5333333333333333,8
AIP,MonkeyA_Session01,Object1,Event3,47,52,0.18999999999999995,0.491,0.5033333333333334,8
AIP,MonkeyA_Session01,Object1,Event3,48,53,0.20999999999999996,0.523,0.5716666666666668,8
AIP,MonkeyA_Session01,Object1,Event3,49,54,0.22999999999999998,0.541,0.5633333333333332,8
AIP,MonkeyA_Session01,Object1,Event3,50,55,0.25,0.46,0.4683333333333334,8
AIP,MonkeyA_Session01,Object1,Event3,51,56,0.27,0.44800000000000006,0.4,8
AIP,MonkeyA_Session01,Object1,Event3,52,57,0.29000000000000004,0.457,0.44,8
AIP,MonkeyA_Session01,Object1,Event3,53,58,0.31000000000000005,0.267,0.21,8
AIP,MonkeyA_Session01,Object1,Event3,54,59,0.33000000000000007,0.34199999999999997,0.255,8
AIP,MonkeyA_Session01,Object1,Event3,55,60,0.3500000000000001,0.345,0.32833333333333337,8
AIP,MonkeyA_Session01,Object1,Event3,56,61,0.3699999999999999,0.31799999999999995,0.3383333333333334,8
AIP,MonkeyA_Session01,Object1,Event3,57,62,0.3899999999999999,0.413,0.41666666666666663,8
AIP,MonkeyA_Session01,Object1,Event3,58,63,0.4099999999999999,0.44499999999999995,0.5266666666666666,8
AIP,MonkeyA_Session01,Object1,Event3,59,64,0.42999999999999994,0.563,0.595,8
AIP,MonkeyA_Session01,Object1,Event3,60,65,0.44999999999999996,0.6090000000000001,0.6991666666666667,8
AIP,MonkeyA_Session01,Object1,Event3,61,66,0.47,0.647,0.6833333333333332,8
AIP,MonkeyA_Session01,Object1,Event3,62,67,0.49,0.6579999999999999,0.735,8
AIP,MonkeyA_Session01,Object1,Event3,63,68,0.51,0.6559999999999999,0.7183333333333333,8
AIP,MonkeyA_Session01,Object1,Event3,64,69,0.53,0.5680000000000001,0.6416666666666666,8
